,PlayId,Team
0,20170907000118,away
11,20170907000118,home
22,20170907000139,away
33,20170907000139,home
44,20170907000189,away
55,20170907000189,home
66,20170907000345,away
77,20170907000345,home
88,20170907000395,away
99,20170907000395,home
110,20170907000473,away
121,20170907000473,home
132,20170907000516,away
143,20170907000516,home
154,20170907000653,away
165,20170907000653,home
176,20170907000680,away
187,20170907000680,home
198,20170907000801,away
209,20170907000801,home
220,20170907000917,away
231,20170907000917,home
242,20170907001004,away
253,20170907001004,home
264,20170907001077,away
275,20170907001077,home
286,20170907001156,away
297,20170907001156,home
308,20170907001177,away
319,20170907001177,home
330,20170907001296,away
341,20170907001296,home
352,20170907001355,away
363,20170907001355,home
374,20170907001376,away
385,20170907001376,home
396,20170907001443,away
407,20170907001443,home
418,20170907001488,away
429,20170907001488,home
440,20170907001509,away
451,20170907001509,home
462,20170907001530,away
473,20170907001530,home
484,20170907001551,away
495,20170907001551,home
506,20170907001605,away
517,20170907001605,home
528,20170907001664,away
539,20170907001664,home
550,20170907001715,away
561,20170907001715,home
572,20170907001736,away
583,20170907001736,home
594,20170907001819,away
605,20170907001819,home
616,20170907001955,away
627,20170907001955,home
638,20170907002430,away
649,20170907002430,home
660,20170907002648,away
671,20170907002648,home
682,20170907002669,away
693,20170907002669,home
704,20170907002829,away
715,20170907002829,home
726,20170907002900,away
737,20170907002900,home
748,20170907002961,away
759,20170907002961,home
770,20170907003138,away
781,20170907003138,home
792,20170907003161,away
803,20170907003161,home
814,20170907003261,away
825,20170907003261,home
836,20170907003444,away
847,20170907003444,home
858,20170907003465,away
869,20170907003465,home
880,20170907003507,away
891,20170907003507,home
902,20170907003635,away
913,20170907003635,home
924,20170907003874,away
935,20170907003874,home
946,20170907004025,away
957,20170907004025,home
968,20170907004046,away
979,20170907004046,home
990,20170907004182,away
1001,20170907004182,home
1012,20170907004314,away
1023,20170907004314,home
1034,20170907004465,away
1045,20170907004465,home
1056,20170907004486,away
1067,20170907004486,home
1078,20170907004622,away
1089,20170907004622,home
1100,20170907004660,away
1111,20170907004660,home
1122,20170907004721,away
1133,20170907004721,home
1144,20170910000081,away
1155,20170910000081,home
1166,20170910000221,away
1177,20170910000221,home
1188,20170910000242,away
1199,20170910000242,home
1210,20170910000263,away
1221,20170910000263,home
1232,20170910000305,away
1243,20170910000305,home
1254,20170910000358,away
1265,20170910000358,home
1276,20170910000626,away
1287,20170910000626,home
1298,20170910000882,away
1309,20170910000882,home
1320,20170910000978,away
1331,20170910000978,home
1342,20170910001020,away
1353,20170910001020,home
1364,20170910001041,away
1375,20170910001041,home
1386,20170910001102,away
1397,20170910001102,home
1408,20170910001123,away
1419,20170910001123,home
1430,20170910001522,away
1441,20170910001522,home
1452,20170910001543,away
1463,20170910001543,home
1474,20170910001622,away
1485,20170910001622,home
1496,20170910001689,away
1507,20170910001689,home
1518,20170910001738,away
1529,20170910001738,home
1540,20170910001770,away
1551,20170910001770,home
1562,20170910002211,away
1573,20170910002211,home
1584,20170910002293,away
1595,20170910002293,home
1606,20170910002384,away
1617,20170910002384,home
1628,20170910002477,away
1639,20170910002477,home
1650,20170910002577,away
1661,20170910002577,home
1672,20170910002631,away
1683,20170910002631,home
1694,20170910002754,away
1705,20170910002754,home
1716,20170910002891,away
1727,20170910002891,home
1738,20170910003180,away
1749,20170910003180,home
1760,20170910003233,away
1771,20170910003233,home
1782,20170910003275,away
1793,20170910003275,home
1804,20170910003296,away
1815,20170910003296,home
1826,20170910003350,away
1837,20170910003350,home
1848,20170910003371,away
1859,20170910003371,home
1870,20170910003454,away
1881,20170910003454,home
1892,20170910003475,away
1903,20170910003475,home
1914,20170910003531,away
1925,20170910003531,home
1936,20170910003608,away
1947,20170910003608,home
1958,20170910003629,away
1969,20170910003629,home
1980,20170910003857,away
1991,20170910003857,home
2002,20170910003878,away
2013,20170910003878,home
2024,20170910004094,away
2035,20170910004094,home
2046,20170910004132,away
2057,20170910004132,home
2068,20170910004196,away
2079,20170910004196,home
2090,20170910004249,away
2101,20170910004249,home
2112,20170910010071,away
2123,20170910010071,home
2134,20170910010164,away
2145,20170910010164,home
2156,20170910010209,away
2167,20170910010209,home
2178,20170910010254,away
2189,20170910010254,home
2200,20170910010275,away
2211,20170910010275,home
2222,20170910010354,away
2233,20170910010354,home
2244,20170910010475,away
2255,20170910010475,home
2266,20170910010624,away
2277,20170910010624,home
2288,20170910010753,away
2299,20170910010753,home
2310,20170910010774,away
2321,20170910010774,home
2332,20170910010887,away
2343,20170910010887,home
2354,20170910010908,away
2365,20170910010908,home
2376,20170910011140,away
2387,20170910011140,home
2398,20170910011209,away
2409,20170910011209,home
2420,20170910011230,away
2431,20170910011230,home
2442,20170910011331,away
2453,20170910011331,home
2464,20170910011373,away
2475,20170910011373,home
2486,20170910011436,away
2497,20170910011436,home
2508,20170910011457,away
2519,20170910011457,home
2530,20170910011478,away
2541,20170910011478,home
2552,20170910011499,away
2563,20170910011499,home
2574,20170910011572,away
2585,20170910011572,home
2596,20170910011593,away
2607,20170910011593,home
2618,20170910011743,away
2629,20170910011743,home
2640,20170910011764,away
2651,20170910011764,home
2662,20170910011785,away
2673,20170910011785,home
2684,20170910011889,away
2695,20170910011889,home
2706,20170910011995,away
2717,20170910011995,home
2728,20170910012016,away
2739,20170910012016,home
2750,20170910012141,away
2761,20170910012141,home
2772,20170910012162,away
2783,20170910012162,home
2794,20170910012231,away
2805,20170910012231,home
2816,20170910012383,away
2827,20170910012383,home
2838,20170910012525,away
2849,20170910012525,home
2860,20170910012546,away
2871,20170910012546,home
2882,20170910012578,away
2893,20170910012578,home
2904,20170910013273,away
2915,20170910013273,home
2926,20170910013353,away
2937,20170910013353,home
2948,20170910020104,away
2959,20170910020104,home
2970,20170910020125,away
2981,20170910020125,home
2992,20170910020240,away
3003,20170910020240,home
3014,20170910020284,away
3025,20170910020284,home
3036,20170910020344,away
3047,20170910020344,home
3058,20170910020394,away
3069,20170910020394,home
3080,20170910020565,away
3091,20170910020565,home
3102,20170910020650,away
3113,20170910020650,home
3124,20170910020695,away
3135,20170910020695,home
3146,20170910020722,away
3157,20170910020722,home
3168,20170910020801,away
3179,20170910020801,home
3190,20170910021000,away
3201,20170910021000,home
3212,20170910021045,away
3223,20170910021045,home
3234,20170910021066,away
3245,20170910021066,home
3256,20170910021087,away
3267,20170910021087,home
3278,20170910021156,away
3289,20170910021156,home
3300,20170910021198,away
3311,20170910021198,home
3322,20170910021274,away
3333,20170910021274,home
3344,20170910021339,away
3355,20170910021339,home
3366,20170910021462,away
3377,20170910021462,home
3388,20170910021483,away
3399,20170910021483,home
3410,20170910021528,away
3421,20170910021528,home
3432,20170910021560,away
3443,20170910021560,home
3454,20170910021686,away
3465,20170910021686,home
3476,20170910021733,away
3487,20170910021733,home
3498,20170910021803,away
3509,20170910021803,home
3520,20170910021889,away
3531,20170910021889,home
3542,20170910021984,away
3553,20170910021984,home
3564,20170910022041,away
3575,20170910022041,home
3586,20170910022115,away
3597,20170910022115,home
3608,20170910022184,away
3619,20170910022184,home
3630,20170910022268,away
3641,20170910022268,home
3652,20170910022289,away
3663,20170910022289,home
3674,20170910022310,away
3685,20170910022310,home
3696,20170910022363,away
3707,20170910022363,home
3718,20170910022384,away
3729,20170910022384,home
3740,20170910022422,away
3751,20170910022422,home
3762,20170910022443,away
3773,20170910022443,home
3784,20170910022464,away
3795,20170910022464,home
3806,20170910022502,away
3817,20170910022502,home
3828,20170910022523,away
3839,20170910022523,home
3850,20170910022544,away
3861,20170910022544,home
3872,20170910022598,away
3883,20170910022598,home
3894,20170910022619,away
3905,20170910022619,home
3916,20170910022695,away
3927,20170910022695,home
3938,20170910022897,away
3949,20170910022897,home
3960,20170910022935,away
3971,20170910022935,home
3982,20170910022956,away
3993,20170910022956,home
4004,20170910023000,away
4015,20170910023000,home
4026,20170910023135,away
4037,20170910023135,home
4048,20170910023201,away
4059,20170910023201,home
4070,20170910023245,away
4081,20170910023245,home
4092,20170910023266,away
4103,20170910023266,home
4114,20170910023510,away
4125,20170910023510,home
4136,20170910023552,away
4147,20170910023552,home
4158,20170910023584,away
4169,20170910023584,home
4180,20170910023662,away
4191,20170910023662,home
4202,20170910023694,away
4213,20170910023694,home
4224,20170910023769,away
4235,20170910023769,home
4246,20170910023790,away
4257,20170910023790,home
4268,20170910023828,away
4279,20170910023828,home
4290,20170910023889,away
4301,20170910023889,home
4312,20170910023910,away
4323,20170910023910,home
4334,20170910030080,away
4345,20170910030080,home
4356,20170910030129,away
4367,20170910030129,home
4378,20170910030204,away
4389,20170910030204,home
4400,20170910030225,away
4411,20170910030225,home
4422,20170910030257,away
4433,20170910030257,home
4444,20170910030555,away
4455,20170910030555,home
4466,20170910030626,away
4477,20170910030626,home
4488,20170910030724,away
4499,20170910030724,home
4510,20170910030745,away
4521,20170910030745,home
4532,20170910030812,away
4543,20170910030812,home
4554,20170910030915,away
4565,20170910030915,home
4576,20170910031022,away
4587,20170910031022,home
4598,20170910031123,away
4609,20170910031123,home
4620,20170910031213,away
4631,20170910031213,home
4642,20170910031312,away
4653,20170910031312,home
4664,20170910031375,away
4675,20170910031375,home
4686,20170910031605,away
4697,20170910031605,home
4708,20170910031626,away
4719,20170910031626,home
4730,20170910031897,away
4741,20170910031897,home
4752,20170910031976,away
4763,20170910031976,home
4774,20170910032219,away
4785,20170910032219,home
4796,20170910032270,away
4807,20170910032270,home
4818,20170910032390,away
4829,20170910032390,home
4840,20170910032468,away
4851,20170910032468,home
4862,20170910032489,away
4873,20170910032489,home
4884,20170910032712,away
4895,20170910032712,home
4906,20170910032915,away
4917,20170910032915,home
4928,20170910032982,away
4939,20170910032982,home
4950,20170910033027,away
4961,20170910033027,home
4972,20170910033186,away
4983,20170910033186,home
4994,20170910033344,away
5005,20170910033344,home
5016,20170910033478,away
5027,20170910033478,home
5038,20170910033752,away
5049,20170910033752,home
5060,20170910040097,away
5071,20170910040097,home
5082,20170910040153,away
5093,20170910040153,home
5104,20170910040233,away
5115,20170910040233,home
5126,20170910040316,away
5137,20170910040316,home
5148,20170910040432,away
5159,20170910040432,home
5170,20170910040453,away
5181,20170910040453,home
5192,20170910040624,away
5203,20170910040624,home
5214,20170910040781,away
5225,20170910040781,home
5236,20170910040876,away
5247,20170910040876,home
5258,20170910040945,away
5269,20170910040945,home
5280,20170910041065,away
5291,20170910041065,home
5302,20170910041179,away
5313,20170910041179,home
5324,20170910041342,away
5335,20170910041342,home
5346,20170910041413,away
5357,20170910041413,home
5368,20170910041505,away
5379,20170910041505,home
5390,20170910041526,away
5401,20170910041526,home
5412,20170910041549,away
5423,20170910041549,home
5434,20170910041769,away
5445,20170910041769,home
5456,20170910042059,away
5467,20170910042059,home
5478,20170910042481,away
5489,20170910042481,home
5500,20170910042550,away
5511,20170910042550,home
5522,20170910042640,away
5533,20170910042640,home
5544,20170910042685,away
5555,20170910042685,home
5566,20170910042739,away
5577,20170910042739,home
5588,20170910042962,away
5599,20170910042962,home
5610,20170910043043,away
5621,20170910043043,home
5632,20170910043146,away
5643,20170910043146,home
5654,20170910043178,away
5665,20170910043178,home
5676,20170910043278,away
5687,20170910043278,home
5698,20170910043299,away
5709,20170910043299,home
5720,20170910043347,away
5731,20170910043347,home
5742,20170910043607,away
5753,20170910043607,home
5764,20170910043652,away
5775,20170910043652,home
5786,20170910043684,away
5797,20170910043684,home
5808,20170910043941,away
5819,20170910043941,home
5830,20170910043962,away
5841,20170910043962,home
5852,20170910044007,away
5863,20170910044007,home
5874,20170910044546,away
5885,20170910044546,home
5896,20170910044567,away
5907,20170910044567,home
5918,20170910050077,away
5929,20170910050077,home
5940,20170910050098,away
5951,20170910050098,home
5962,20170910050273,away
5973,20170910050273,home
5984,20170910050354,away
5995,20170910050354,home
6006,20170910050375,away
6017,20170910050375,home
6028,20170910050435,away
6039,20170910050435,home
6050,20170910050504,away
6061,20170910050504,home
6072,20170910050525,away
6083,20170910050525,home
6094,20170910050570,away
6105,20170910050570,home
6116,20170910050682,away
6127,20170910050682,home
6138,20170910050703,away
6149,20170910050703,home
6160,20170910050748,away
6171,20170910050748,home
6182,20170910050801,away
6193,20170910050801,home
6204,20170910050855,away
6215,20170910050855,home
6226,20170910050876,away
6237,20170910050876,home
6248,20170910051003,away
6259,20170910051003,home
6270,20170910051126,away
6281,20170910051126,home
6292,20170910051147,away
6303,20170910051147,home
6314,20170910051214,away
6325,20170910051214,home
6336,20170910051312,away
6347,20170910051312,home
6358,20170910051333,away
6369,20170910051333,home
6380,20170910051425,away
6391,20170910051425,home
6402,20170910051499,away
6413,20170910051499,home
6424,20170910051555,away
6435,20170910051555,home
6446,20170910051604,away
6457,20170910051604,home
6468,20170910051636,away
6479,20170910051636,home
6490,20170910051678,away
6501,20170910051678,home
6512,20170910051699,away
6523,20170910051699,home
6534,20170910051724,away
6545,20170910051724,home
6556,20170910052048,away
6567,20170910052048,home
6578,20170910052125,away
6589,20170910052125,home
6600,20170910052146,away
6611,20170910052146,home
6622,20170910052191,away
6633,20170910052191,home
6644,20170910052236,away
6655,20170910052236,home
6666,20170910052302,away
6677,20170910052302,home
6688,20170910052578,away
6699,20170910052578,home
6710,20170910052654,away
6721,20170910052654,home
6732,20170910052675,away
6743,20170910052675,home
6754,20170910052720,away
6765,20170910052720,home
6776,20170910052786,away
6787,20170910052786,home
6798,20170910052862,away
6809,20170910052862,home
6820,20170910052926,away
6831,20170910052926,home
6842,20170910053002,away
6853,20170910053002,home
6864,20170910053045,away
6875,20170910053045,home
6886,20170910053090,away
6897,20170910053090,home
6908,20170910053140,away
6919,20170910053140,home
6930,20170910053178,away
6941,20170910053178,home
6952,20170910053199,away
6963,20170910053199,home
6974,20170910053220,away
6985,20170910053220,home
6996,20170910053265,away
7007,20170910053265,home
7018,20170910053374,away
7029,20170910053374,home
7040,20170910053479,away
7051,20170910053479,home
7062,20170910053500,away
7073,20170910053500,home
7084,20170910053837,away
7095,20170910053837,home
7106,20170910053880,away
7117,20170910053880,home
7128,20170910053919,away
7139,20170910053919,home
7150,20170910054015,away
7161,20170910054015,home
7172,20170910070082,away
7183,20170910070082,home
7194,20170910070280,away
7205,20170910070280,home
7216,20170910070301,away
7227,20170910070301,home
7238,20170910070322,away
7249,20170910070322,home
7260,20170910070389,away
7271,20170910070389,home
7282,20170910070410,away
7293,20170910070410,home
7304,20170910070508,away
7315,20170910070508,home
7326,20170910070575,away
7337,20170910070575,home
7348,20170910070686,away
7359,20170910070686,home
7370,20170910070742,away
7381,20170910070742,home
7392,20170910070787,away
7403,20170910070787,home
7414,20170910070825,away
7425,20170910070825,home
7436,20170910070963,away
7447,20170910070963,home
7458,20170910070984,away
7469,20170910070984,home
7480,20170910071055,away
7491,20170910071055,home
7502,20170910071100,away
7513,20170910071100,home
7524,20170910071145,away
7535,20170910071145,home
7546,20170910071190,away
7557,20170910071190,home
7568,20170910071272,away
7579,20170910071272,home
7590,20170910071293,away
7601,20170910071293,home
7612,20170910071338,away
7623,20170910071338,home
7634,20170910071491,away
7645,20170910071491,home
7656,20170910071833,away
7667,20170910071833,home
7678,20170910071926,away
7689,20170910071926,home
7700,20170910072027,away
7711,20170910072027,home
7722,20170910072106,away
7733,20170910072106,home
7744,20170910072191,away
7755,20170910072191,home
7766,20170910072306,away
7777,20170910072306,home
7788,20170910072474,away
